ticker,falsification,label,stated_value,true_value,verdict,tool_binary,correct,final_confidence,human_review,reason,claim
AAPL,none,true,416161000000,416161000000,contradicted,not_credible,False,0.882,True,"The claim regarding the reported annual revenue of 416161000000 for the fiscal year ending 2025-09-27 is not supported by the available evidence. The evidence provided pertains to fiscal years and quarters beyond the claimed date, specifically for 2026.",Apple Inc. reported annual revenue of 416161000000 for the fiscal year ending 2025-09-27.
AAPL,number_big,false,624242000000,416161000000,contradicted,not_credible,True,0.882,True,The claim of reported annual revenue of 624242000000 for the fiscal year ending 2025-09-27 is not supported by the available evidence. The evidence provided does not contain any revenue figures for the fiscal year 2025.,Apple Inc. reported annual revenue of 624242000000 for the fiscal year ending 2025-09-27.
AAPL,number_small,false,432807000000,416161000000,contradicted,not_credible,True,0.882,True,The claim regarding the reported annual revenue of 432807000000 for the fiscal year ending 2025-09-27 is not supported by the available evidence. The evidence provided pertains to fiscal years beyond 2025 and does not include the specific revenue figure claimed.,Apple Inc. reported annual revenue of 432807000000 for the fiscal year ending 2025-09-27.
AAPL,wrong_company,false,45183036000,416161000000,partially_supported,uncertain,False,0.83,True,Only some material numeric values in the claim were matched directly in the evidence.,Apple Inc. reported annual revenue of 45183036000 for the fiscal year ending 2025-09-27.
AAPL,wrong_time,false,416161000000,391035000000,contradicted,not_credible,True,0.882,True,The claim regarding the reported annual revenue of 416161000000 for the fiscal year ending 2024-09-28 is not supported by the provided evidence. The evidence does not contain any financial data for the fiscal year 2024.,Apple Inc. reported annual revenue of 416161000000 for the fiscal year ending 2024-09-28.
AAPL,none,true,112010000000,112010000000,contradicted,not_credible,False,0.882,True,"The reported annual net income of 112,010,000,000 for the fiscal year ending 2025-09-27 is contradicted by the evidence, which shows a net income of 61,110,000,000 for Q2 2026 and 24,780,000,000 for Q1 2025, indicating that the claim is not supported by the available financial data.",Apple Inc. reported annual net income of 112010000000 for the fiscal year ending 2025-09-27.
AAPL,number_big,false,168015000000,112010000000,contradicted,not_credible,True,0.882,True,"The claim of a reported annual net income of 168,015,000,000 for the fiscal year ending 2025-09-27 is not supported by the available evidence. The most recent evidence pertains to net income figures for the fiscal year 2026, and no annual net income figure for 2025 is provided.",Apple Inc. reported annual net income of 168015000000 for the fiscal year ending 2025-09-27.
AAPL,number_small,false,116490000000,112010000000,contradicted,not_credible,True,0.882,True,"The claim of a reported annual net income of 116490000000 for the fiscal year ending 2025-09-27 is not supported by the available evidence, which only provides net income figures for the fiscal year 2026 and does not include any data for 2025.",Apple Inc. reported annual net income of 116490000000 for the fiscal year ending 2025-09-27.
AAPL,wrong_company,false,3794000000,112010000000,contradicted,not_credible,True,0.882,True,"The claim of a reported annual net income of 3,794,000,000 for the fiscal year ending 2025-09-27 is not supported by the available evidence. The evidence provided pertains to net income figures for fiscal periods beyond the claim's date.",Apple Inc. reported annual net income of 3794000000 for the fiscal year ending 2025-09-27.
AAPL,wrong_time,false,112010000000,93736000000,contradicted,not_credible,True,0.882,True,"The claim of an annual net income of 112,010,000,000 for the fiscal year ending 2024-09-28 is not supported by the provided evidence, which only includes data for fiscal years beyond 2024.",Apple Inc. reported annual net income of 112010000000 for the fiscal year ending 2024-09-28.
MSFT,none,true,281724000000,281724000000,contradicted,not_credible,False,0.883,True,"The claim regarding Microsoft's annual revenue for the fiscal year ending June 30, 2025, is not supported by the provided evidence, which only includes data for fiscal years beyond 2025.",MICROSOFT CORPORATION reported annual revenue of 281724000000 for the fiscal year ending 2025-06-30.
MSFT,number_big,false,422586000000,281724000000,contradicted,not_credible,True,0.883,True,"The claim regarding Microsoft's annual revenue for the fiscal year ending June 30, 2025, is not supported by the provided evidence, which only includes data up to the fiscal year ending in 2026.",MICROSOFT CORPORATION reported annual revenue of 422586000000 for the fiscal year ending 2025-06-30.
MSFT,number_small,false,292993000000,281724000000,contradicted,not_credible,True,0.883,True,"The claim regarding Microsoft's annual revenue for the fiscal year ending June 30, 2025, is not supported by the provided evidence, which only includes data up to the fiscal year ending in 2026.",MICROSOFT CORPORATION reported annual revenue of 292993000000 for the fiscal year ending 2025-06-30.
MSFT,wrong_company,false,716924000000,281724000000,contradicted,not_credible,True,0.883,True,"The claim regarding Microsoft's annual revenue for the fiscal year ending June 30, 2025, is not supported by the provided evidence. The evidence includes data for fiscal years beyond 2025 but does not confirm the specific revenue figure claimed.",MICROSOFT CORPORATION reported annual revenue of 716924000000 for the fiscal year ending 2025-06-30.
MSFT,wrong_time,false,281724000000,245122000000,contradicted,not_credible,True,0.883,True,The claim regarding Microsoft's annual revenue for the fiscal year ending 2024-06-30 is not supported by the provided evidence. The latest available revenue figures are from 2026 and do not confirm the claim.,MICROSOFT CORPORATION reported annual revenue of 281724000000 for the fiscal year ending 2024-06-30.
MSFT,none,true,101832000000,101832000000,contradicted,not_credible,False,0.883,True,"The claim states that Microsoft Corporation reported an annual net income of 101,832,000,000 for the fiscal year ending June 30, 2025. However, the evidence provided indicates that the net income for the fiscal year 2026 Q3 (which corresponds to the period ending June 30, 2026) is 74,599,000,000, and there is no evidence supporting the claimed figure for the fiscal year ending June 30, 2025.",MICROSOFT CORPORATION reported annual net income of 101832000000 for the fiscal year ending 2025-06-30.
MSFT,number_big,false,152748000000,101832000000,contradicted,not_credible,True,0.883,True,"The claim regarding Microsoft's annual net income for the fiscal year ending June 30, 2025, is not supported by the available evidence. The evidence provided pertains to fiscal periods beyond the claimed date and does not include the specific figure mentioned in the claim.",MICROSOFT CORPORATION reported annual net income of 152748000000 for the fiscal year ending 2025-06-30.
MSFT,number_small,false,105905000000,101832000000,contradicted,not_credible,True,0.883,True,"The claim states that Microsoft Corporation reported an annual net income of 105,905,000,000 for the fiscal year ending June 30, 2025. However, the evidence provided indicates that the latest reported net income is for the fiscal year ending April 29, 2026, with a figure of 74,599,000,000 for Q3 2026, which does not support the claim for the fiscal year ending June 30, 2025.",MICROSOFT CORPORATION reported annual net income of 105905000000 for the fiscal year ending 2025-06-30.
MSFT,wrong_company,false,3794000000,101832000000,contradicted,not_credible,True,0.883,True,"The claim states that Microsoft Corporation reported an annual net income of 3,794,000,000 for the fiscal year ending June 30, 2025. However, the evidence indicates that the net income for the fiscal year 2026 Q3 (which includes the period ending June 30, 2025) is significantly higher at 74,599,000,000, contradicting the claim.",MICROSOFT CORPORATION reported annual net income of 3794000000 for the fiscal year ending 2025-06-30.
MSFT,wrong_time,false,101832000000,88136000000,contradicted,not_credible,True,0.883,True,"The claim regarding Microsoft's annual net income for the fiscal year ending June 30, 2024, is not supported by the available evidence, which pertains to filings made in 2026 and does not provide information for the fiscal year 2024.",MICROSOFT CORPORATION reported annual net income of 101832000000 for the fiscal year ending 2024-06-30.
NVDA,none,true,215938000000,215938000000,contradicted,not_credible,False,0.886,True,The claim regarding NVIDIA CORP's annual revenue of 215938000000 for the fiscal year ending 2026-01-25 is not supported by the provided evidence. The evidence does not contain any revenue figures for the fiscal year 2026.,NVIDIA CORP reported annual revenue of 215938000000 for the fiscal year ending 2026-01-25.
NVDA,number_big,false,323907000000,215938000000,contradicted,not_credible,True,0.886,True,"The claim regarding NVIDIA CORP's annual revenue of 323,907,000,000 for the fiscal year ending 2026-01-25 is not supported by the provided evidence. The evidence does not contain any financial data for the fiscal year 2026.",NVIDIA CORP reported annual revenue of 323907000000 for the fiscal year ending 2026-01-25.
NVDA,number_small,false,224576000000,215938000000,contradicted,not_credible,True,0.886,True,"The claim regarding NVIDIA CORP's annual revenue of 224576000000 for the fiscal year ending 2026-01-25 is not supported by the provided evidence. The latest available revenue figures are from Q1 2027, which do not confirm the annual revenue claim for the specified fiscal year.",NVIDIA CORP reported annual revenue of 224576000000 for the fiscal year ending 2026-01-25.
NVDA,wrong_company,false,716924000000,215938000000,contradicted,not_credible,True,0.886,True,The claim regarding NVIDIA CORP's annual revenue of 716924000000 for the fiscal year ending 2026-01-25 is not supported by the provided evidence. The evidence does not contain any financial data for the fiscal year 2026.,NVIDIA CORP reported annual revenue of 716924000000 for the fiscal year ending 2026-01-25.
NVDA,wrong_time,false,215938000000,130497000000,contradicted,not_credible,True,0.886,True,"The claim regarding NVIDIA CORP's annual revenue for the fiscal year ending 2025-01-26 is not supported by the available evidence. The latest revenue figures provided are for fiscal years 2022 and projections for 2027, with no data available for the fiscal year 2025.",NVIDIA CORP reported annual revenue of 215938000000 for the fiscal year ending 2025-01-26.
NVDA,none,true,120067000000,120067000000,contradicted,not_credible,False,0.886,True,"The claim states that NVIDIA CORP reported an annual net income of 120,067,000,000 for the fiscal year ending January 25, 2026. However, the evidence provided indicates net income figures for different quarters in 2026, with no support for the claimed annual figure.",NVIDIA CORP reported annual net income of 120067000000 for the fiscal year ending 2026-01-25.
NVDA,number_big,false,180100000000,120067000000,contradicted,not_credible,True,0.886,True,"The claim states that NVIDIA CORP reported an annual net income of 180100000000 for the fiscal year ending 2026-01-25. However, the evidence indicates that the reported net income for the fiscal year 2026 (Q1) is 58321000000, which contradicts the claim.",NVIDIA CORP reported annual net income of 180100000000 for the fiscal year ending 2026-01-25.
NVDA,number_small,false,124870000000,120067000000,contradicted,not_credible,True,0.886,True,"The claim states that NVIDIA CORP reported an annual net income of 124,870,000,000 for the fiscal year ending January 25, 2026. However, the evidence provided indicates net income figures for different quarters in 2026, with the highest reported net income being 58,321,000,000 for Q1 of 2026, which contradicts the claim of an annual net income of 124,870,000,000.",NVIDIA CORP reported annual net income of 124870000000 for the fiscal year ending 2026-01-25.
NVDA,wrong_company,false,3794000000,120067000000,contradicted,not_credible,True,0.886,True,"The claim states that NVIDIA CORP reported an annual net income of 3,794,000,000 for the fiscal year ending January 25, 2026. However, the evidence indicates that the net income for the fiscal year 2026 (reported in Q1 2027) is significantly higher at 58,321,000,000.",NVIDIA CORP reported annual net income of 3794000000 for the fiscal year ending 2026-01-25.
NVDA,wrong_time,false,120067000000,72880000000,contradicted,not_credible,True,0.886,True,"The claim states that NVIDIA CORP reported an annual net income of 120,067,000,000 for the fiscal year ending January 26, 2025. However, the evidence provided indicates net income figures for fiscal years 2025 and 2026, with no support for the claimed amount for the fiscal year ending January 26, 2025.",NVIDIA CORP reported annual net income of 120067000000 for the fiscal year ending 2025-01-26.
GOOGL,none,true,402836000000,402836000000,contradicted,not_credible,False,0.885,True,"The claim of reported annual revenue of 402,836,000,000 for the fiscal year ending 2025-12-31 is not supported by the available evidence. The evidence provided includes revenue figures for Q1 of 2025 and Q1 of 2026, but does not confirm the total annual revenue for 2025.",Alphabet Inc. reported annual revenue of 402836000000 for the fiscal year ending 2025-12-31.
GOOGL,number_big,false,604254000000,402836000000,contradicted,not_credible,True,0.885,True,"The claim of reported annual revenue of 604254000000 for the fiscal year ending 2025-12-31 is not supported by the available evidence. The evidence provided includes revenue figures for Q1 of 2025 and Q1 of 2026, but does not confirm the total annual revenue for 2025.",Alphabet Inc. reported annual revenue of 604254000000 for the fiscal year ending 2025-12-31.
GOOGL,number_small,false,418949000000,402836000000,contradicted,not_credible,True,0.885,True,"The claim of reported annual revenue of 418949000000 for the fiscal year ending 2025-12-31 is not supported by the available evidence. The evidence provided includes revenue figures for Q1 of 2025 and Q1 of 2026, but does not confirm the total annual revenue for 2025.",Alphabet Inc. reported annual revenue of 418949000000 for the fiscal year ending 2025-12-31.
GOOGL,wrong_company,false,45183036000,402836000000,contradicted,not_credible,True,0.885,True,"The reported annual revenue of 45,183,036,000 for the fiscal year ending 2025-12-31 is contradicted by the evidence, which shows revenues for 2025 Q1 and 2026 Q1 that are significantly higher than the claimed amount.",Alphabet Inc. reported annual revenue of 45183036000 for the fiscal year ending 2025-12-31.
