ticker,metric,falsification,label,stated_value,true_value,overall_label,numeric_verdict,final_confidence,tool_binary,correct,error_type,reason,claim
AAPL,revenue,direction,true,,416161000000,Very High,not_applicable,0.935,credible,True,,,Apple Inc.'s annual revenue increased year over year in fiscal 2025 compared with the prior fiscal year.
AAPL,revenue,direction,false,,416161000000,Very High,not_applicable,0.87,credible,False,false_passed,,Apple Inc.'s annual revenue decreased year over year in fiscal 2025 compared with the prior fiscal year.
AAPL,revenue,paraphrase,true,416200000000.0,416161000000,Very High,verified,0.921,credible,True,,"matched 416,200,000,000 for FY 2025",Apple Inc.'s fiscal 2025 annual revenue was approximately $416.2 billion.
AAPL,revenue,paraphrase,false,541000000000.0,416161000000,Contradicted,contradicted,0.05,not_credible,True,,"claim states 541,000,000,000 for FY 2025; filings report 416,161,000,000",Apple Inc.'s fiscal 2025 annual revenue was approximately $541.0 billion.
AAPL,net income,direction,true,,112010000000,Very High,not_applicable,0.935,credible,True,,,Apple Inc.'s annual net income increased year over year in fiscal 2025 compared with the prior fiscal year.
AAPL,net income,direction,false,,112010000000,Very High,not_applicable,0.87,credible,False,false_passed,,Apple Inc.'s annual net income decreased year over year in fiscal 2025 compared with the prior fiscal year.
AAPL,net income,paraphrase,true,112000000000.0,112010000000,Very High,verified,0.921,credible,True,,"matched 112,000,000,000 for FY 2025",Apple Inc.'s fiscal 2025 annual net income was approximately $112.0 billion.
AAPL,net income,paraphrase,false,145600000000.0,112010000000,Contradicted,contradicted,0.05,not_credible,True,,"claim states 145,600,000,000 for FY 2025; filings report 112,010,000,000",Apple Inc.'s fiscal 2025 annual net income was approximately $145.6 billion.
MSFT,revenue,direction,true,,281724000000,Very High,not_applicable,0.92,credible,True,,,MICROSOFT CORPORATION's annual revenue increased year over year in fiscal 2025 compared with the prior fiscal year.
MSFT,revenue,direction,false,,281724000000,Very High,not_applicable,0.869,credible,False,false_passed,,MICROSOFT CORPORATION's annual revenue decreased year over year in fiscal 2025 compared with the prior fiscal year.
MSFT,revenue,paraphrase,true,281700000000.0,281724000000,Very High,verified,0.912,credible,True,,"matched 281,700,000,000 for FY 2025",MICROSOFT CORPORATION's fiscal 2025 annual revenue was approximately $281.7 billion.
MSFT,revenue,paraphrase,false,366200000000.0,281724000000,Contradicted,contradicted,0.05,not_credible,True,,"claim states 366,200,000,000 for FY 2025; filings report 281,724,000,000",MICROSOFT CORPORATION's fiscal 2025 annual revenue was approximately $366.2 billion.
