ticker,falsification,label,stated_value,true_value,verdict,tool_binary,correct,final_confidence,human_review,reason,claim
,,true,,,not_applicable,uncertain,False,0.0,False,,
,,false,,,insufficient,uncertain,False,0.148,True,,
,,true,,,insufficient,uncertain,False,0.148,True,,
,,false,,,insufficient,uncertain,False,0.148,True,,
,,true,,,not_applicable,uncertain,False,0.0,False,,
,,false,,,insufficient,uncertain,False,0.167,True,,
,,true,,,not_applicable,uncertain,False,0.0,False,,
,,true,,,not_applicable,uncertain,False,0.0,False,,
,,false,,,not_applicable,uncertain,False,0.0,False,,
,,true,,,insufficient,uncertain,False,0.148,True,,
,,false,,,insufficient,uncertain,False,0.148,True,,
,,true,,,not_applicable,uncertain,False,0.0,False,,
,,true,,,insufficient,uncertain,False,0.148,True,,
,,false,,,insufficient,uncertain,False,0.148,True,,
,,true,,,insufficient,uncertain,False,0.228,True,,
,,true,,,not_applicable,uncertain,False,0.0,False,,
,,false,,,insufficient,uncertain,False,0.167,True,,
,,true,,,not_applicable,uncertain,False,0.0,False,,
,,false,,,partially_supported,uncertain,False,0.694,True,,
,,true,,,not_applicable,uncertain,False,0.0,False,,
,,true,,,not_applicable,uncertain,False,0.0,False,,
,,false,,,insufficient,uncertain,False,0.167,True,,
,,true,,,not_applicable,uncertain,False,0.0,False,,
,,false,,,insufficient,uncertain,False,0.148,True,,
,,true,,,insufficient,uncertain,False,0.148,True,,
,,false,,,insufficient,uncertain,False,0.148,True,,
,,true,,,not_applicable,uncertain,False,0.0,False,,
,,false,,,insufficient,uncertain,False,0.167,True,,
,,true,,,not_applicable,uncertain,False,0.0,False,,
,,false,,,insufficient,uncertain,False,0.148,True,,
,,true,,,insufficient,uncertain,False,0.148,True,,
,,false,,,insufficient,uncertain,False,0.148,True,,
,,true,,,not_applicable,uncertain,False,0.0,False,,
,,false,,,insufficient,uncertain,False,0.148,True,,
,,true,,,insufficient,uncertain,False,0.118,True,,
,,false,,,insufficient,uncertain,False,0.118,True,,
,,true,,,partially_supported,uncertain,False,0.693,True,,
,,true,,,not_applicable,uncertain,False,0.0,False,,
,,true,,,not_applicable,uncertain,False,0.0,False,,
,,true,,,insufficient,uncertain,False,0.118,True,,
,,false,,,insufficient,uncertain,False,0.118,True,,
,,true,,,insufficient,uncertain,False,0.118,True,,
,,false,,,insufficient,uncertain,False,0.118,True,,
,,true,,,insufficient,uncertain,False,0.118,True,,
,,false,,,insufficient,uncertain,False,0.118,True,,
,,true,,,insufficient,uncertain,False,0.118,True,,
,,false,,,insufficient,uncertain,False,0.118,True,,
,,false,,,insufficient,uncertain,False,0.118,True,,
,,true,,,insufficient,uncertain,False,0.118,True,,
,,false,,,insufficient,uncertain,False,0.118,True,,
,,true,,,insufficient,uncertain,False,0.118,True,,
,,false,,,insufficient,uncertain,False,0.118,True,,
,,true,,,insufficient,uncertain,False,0.167,True,,
,,true,,,insufficient,uncertain,False,0.118,True,,
,,false,,,insufficient,uncertain,False,0.118,True,,
,,true,,,insufficient,uncertain,False,0.228,True,,
,,true,,,insufficient,uncertain,False,0.137,True,,
,,false,,,insufficient,uncertain,False,0.137,True,,
,,true,,,insufficient,uncertain,False,0.137,True,,
,,true,,,insufficient,uncertain,False,0.187,True,,
,,true,,,insufficient,uncertain,False,0.138,True,,
,,false,,,insufficient,uncertain,False,0.138,True,,
,,true,,,insufficient,uncertain,False,0.118,True,,
,,false,,,insufficient,uncertain,False,0.118,True,,
,,true,,,insufficient,uncertain,False,0.118,True,,
,,false,,,insufficient,uncertain,False,0.118,True,,
,,true,,,insufficient,uncertain,False,0.167,True,,
,,true,,,insufficient,uncertain,False,0.118,True,,
,,false,,,insufficient,uncertain,False,0.118,True,,
,,true,,,insufficient,uncertain,False,0.118,True,,
,,false,,,insufficient,uncertain,False,0.118,True,,
,,true,,,insufficient,uncertain,False,0.088,True,,
,,false,,,insufficient,uncertain,False,0.088,True,,
,,true,,,not_applicable,uncertain,False,0.0,False,,
,,true,,,insufficient,uncertain,False,0.088,True,,
,,false,,,insufficient,uncertain,False,0.088,True,,
,,true,,,partially_supported,uncertain,False,0.693,True,All material numeric values in the claim were matched directly in the evidence.,
,,false,,,contradicted,not_credible,True,0.689,True,"The claim that the unemployment rate was 6.3% in April 2026 is contradicted by the evidence, which shows the unemployment rate was 4.3% in that month.",
,,true,,,contradicted,not_credible,False,0.622,True,"The claim states that there were 92,000 lost nonfarm payrolls in February 2026, but the evidence shows that the total nonfarm payrolls for February 2026 were 158,436, which indicates an increase from January 2026 (158,592) rather than a loss.",
,,false,,,insufficient,uncertain,False,0.088,True,,
,,true,,,not_applicable,uncertain,False,0.0,False,,
,,true,,,insufficient,uncertain,False,0.088,True,,
,,false,,,insufficient,uncertain,False,0.088,True,,
,,true,,,insufficient,uncertain,False,0.118,True,,
,,true,,,insufficient,uncertain,False,0.118,True,,
,,false,,,insufficient,uncertain,False,0.118,True,,
