id,statement,source,asset_class,entity,claim_type,label,perturbation
S1,"Nvidia reported first-quarter revenue of $81.62 billion, beating analyst estimates of $79.18 billion.",yahoo: nvidia-q1-earnings-takeaways,stock,NVDA,numeric,true,none
S1n,Nvidia reported first-quarter revenue of $61.62 billion.,perturbed from S1,stock,NVDA,numeric,false,number
S2,Nvidia's data center revenue rose 92% year over year in the first quarter.,yahoo: nvidia-q1-earnings-takeaways,stock,NVDA,numeric,true,none
S2n,Nvidia's data center revenue rose 19% year over year in the first quarter.,perturbed from S2,stock,NVDA,numeric,false,number
S9,"Nvidia posted adjusted earnings of $1.87 per share, beating estimates of $1.77.",yahoo: nvidia-q1-earnings-takeaways,stock,NVDA,numeric,true,none
S9n,Nvidia posted adjusted earnings of $2.87 per share.,perturbed from S9,stock,NVDA,numeric,false,number
S6,Nvidia guided to second-quarter revenue of between $89.1 billion and $92.8 billion.,yahoo: nvidia-strong-outlook,stock,NVDA,forecast,na,none
S7,Nvidia's strong revenue outlook makes it the most attractive AI stock to own right now.,yahoo: nvidia-strong-outlook (analyst view),stock,NVDA,opinion,na,none
Sc1,Nvidia's growth was driven by surging data center demand.,yahoo: nvidia-q1-earnings-takeaways,stock,NVDA,causal,true,none
S3,"Apple reported second-quarter revenue of $111.2 billion, above estimates of $109.66 billion.",yahoo: apple-beats-q2-earnings,stock,AAPL,numeric,true,none
S3d,"Apple reported fourth-quarter revenue of $111.2 billion, above estimates.",perturbed from S3,stock,AAPL,numeric,false,date
S4,Apple's Greater China revenue was $20.50 billion in the second quarter.,yahoo: apple-beats-q2-earnings,stock,AAPL,numeric,true,none
S4n,Apple's Greater China revenue was $30.50 billion in the second quarter.,perturbed from S4,stock,AAPL,numeric,false,number
S5,"Apple posted adjusted earnings per share of $2.01, beating estimates of $1.96.",yahoo: apple-beats-q2-earnings,stock,AAPL,numeric,true,none
S8,Apple's iPhone revenue was $56.99 billion in the second quarter.,yahoo: apple-beats-q2-earnings,stock,AAPL,numeric,true,none
S8n,Apple's iPhone revenue was $46.99 billion in the second quarter.,perturbed from S8,stock,AAPL,numeric,false,number
Sc2,Apple's revenue beat was driven by strong iPhone and China sales.,yahoo: apple-beats-q2-earnings,stock,AAPL,causal,true,none
MS1,"Microsoft reported adjusted earnings per share of $4.27, beating consensus by $0.21.",yahoo: amazon-vs-microsoft-earnings,stock,MSFT,numeric,true,none
MS1n,Microsoft reported adjusted earnings per share of $3.27.,perturbed from MS1,stock,MSFT,numeric,false,number
MS2,"Microsoft reported revenue of $82.89 billion, beating estimates by about $1.5 billion.",yahoo: amazon-vs-microsoft-earnings,stock,MSFT,numeric,true,none
MS2n,Microsoft reported revenue of $92.89 billion.,perturbed from MS2,stock,MSFT,numeric,false,number
MS3,Microsoft guided to Azure revenue growth of 39% to 40% for the current quarter.,yahoo: amazon-vs-microsoft-earnings,stock,MSFT,forecast,na,none
MSc,Microsoft's revenue grew because of strong Azure and cloud demand.,yahoo: amazon-vs-microsoft-earnings,stock,MSFT,causal,true,none
MSo,Microsoft is the safest mega-cap AI investment today.,market commentary,stock,MSFT,opinion,na,none
AM1,"Amazon reported earnings per share of $2.78, beating estimates by $1.10.",yahoo: amazon-vs-microsoft-earnings,stock,AMZN,numeric,true,none
AM1n,Amazon reported earnings per share of $1.78.,perturbed from AM1,stock,AMZN,numeric,false,number
AM2,"Amazon reported revenue of $181.5 billion, beating estimates by over $4 billion.",yahoo: amazon-vs-microsoft-earnings,stock,AMZN,numeric,true,none
AM2n,Amazon reported revenue of $151.5 billion.,perturbed from AM2,stock,AMZN,numeric,false,number
AM3,Amazon Web Services revenue rose 24% to $35.6 billion in the fourth quarter of 2025.,yahoo: magnificent-seven-earnings,stock,AMZN,numeric,true,none
AM3d,Amazon Web Services revenue rose 24% to $35.6 billion in the first quarter of 2025.,perturbed from AM3,stock,AMZN,numeric,false,date
AMo,Amazon looks like a better buy than Microsoft after this earnings season.,yahoo: amazon-vs-microsoft-earnings (opinion),stock,AMZN,opinion,na,none
AMf,Amazon's AWS growth will keep accelerating through 2026.,market forecast,stock,AMZN,forecast,na,none
GO1,"Alphabet reported adjusted earnings per share of $2.62, missing estimates by a penny.",yahoo: magnificent-seven-earnings,stock,GOOGL,numeric,true,none
GO1d,Alphabet reported fourth-quarter adjusted earnings per share of $2.62.,perturbed from GO1,stock,GOOGL,numeric,false,date
GO2,"Alphabet reported revenue of nearly $110 billion, beating estimates by $2.7 billion.",yahoo: magnificent-seven-earnings,stock,GOOGL,numeric,true,none
