ticker,metric,falsification,label,stated_value,true_value,overall_label,numeric_verdict,final_confidence,tool_binary,correct,error_type,reason,claim
AAPL,annual revenue,none,true,416161000000,416161000000,High,verified,0.792,credible,True,,"matched 416,161,000,000 for FY 2025",Apple Inc. reported annual revenue of 416161000000 for the fiscal year ending 2025-09-27.
AAPL,annual revenue,number_big,false,624242000000,416161000000,Contradicted,contradicted,0.05,not_credible,True,,"claim states 624,242,000,000 for FY 2025; filings report 416,161,000,000",Apple Inc. reported annual revenue of 624242000000 for the fiscal year ending 2025-09-27.
AAPL,annual revenue,number_small,false,432807000000,416161000000,Contradicted,contradicted,0.05,not_credible,True,,"claim states 432,807,000,000 for FY 2025; filings report 416,161,000,000",Apple Inc. reported annual revenue of 432807000000 for the fiscal year ending 2025-09-27.
AAPL,annual revenue,wrong_company,false,45183036000,416161000000,Contradicted,contradicted,0.05,not_credible,True,,"claim states 45,183,036,000 for FY 2025; filings report 416,161,000,000",Apple Inc. reported annual revenue of 45183036000 for the fiscal year ending 2025-09-27.
AAPL,annual revenue,wrong_time,false,416161000000,391035000000,Contradicted,contradicted,0.05,not_credible,True,,"claim states 416,161,000,000 for FY 2024; filings report 391,035,000,000",Apple Inc. reported annual revenue of 416161000000 for the fiscal year ending 2024-09-28.
AAPL,annual net income,none,true,112010000000,112010000000,High,verified,0.787,credible,True,,"matched 112,010,000,000 for FY 2025",Apple Inc. reported annual net income of 112010000000 for the fiscal year ending 2025-09-27.
AAPL,annual net income,number_big,false,168015000000,112010000000,Contradicted,contradicted,0.05,not_credible,True,,"claim states 168,015,000,000 for FY 2025; filings report 112,010,000,000",Apple Inc. reported annual net income of 168015000000 for the fiscal year ending 2025-09-27.
AAPL,annual net income,number_small,false,116490000000,112010000000,Contradicted,contradicted,0.05,not_credible,True,,"claim states 116,490,000,000 for FY 2025; filings report 112,010,000,000",Apple Inc. reported annual net income of 116490000000 for the fiscal year ending 2025-09-27.
AAPL,annual net income,wrong_company,false,3794000000,112010000000,Contradicted,contradicted,0.05,not_credible,True,,"claim states 3,794,000,000 for FY 2025; filings report 112,010,000,000",Apple Inc. reported annual net income of 3794000000 for the fiscal year ending 2025-09-27.
AAPL,annual net income,wrong_time,false,112010000000,93736000000,Contradicted,contradicted,0.05,not_credible,True,,"claim states 112,010,000,000 for FY 2024; filings report 93,736,000,000",Apple Inc. reported annual net income of 112010000000 for the fiscal year ending 2024-09-28.
MSFT,annual revenue,none,true,281724000000,281724000000,High,verified,0.783,credible,True,,"matched 281,724,000,000 for FY 2025",MICROSOFT CORPORATION reported annual revenue of 281724000000 for the fiscal year ending 2025-06-30.
MSFT,annual revenue,number_big,false,422586000000,281724000000,Contradicted,contradicted,0.05,not_credible,True,,"claim states 422,586,000,000 for FY 2025; filings report 281,724,000,000",MICROSOFT CORPORATION reported annual revenue of 422586000000 for the fiscal year ending 2025-06-30.
MSFT,annual revenue,number_small,false,292993000000,281724000000,Contradicted,contradicted,0.05,not_credible,True,,"claim states 292,993,000,000 for FY 2025; filings report 281,724,000,000",MICROSOFT CORPORATION reported annual revenue of 292993000000 for the fiscal year ending 2025-06-30.
MSFT,annual revenue,wrong_company,false,716924000000,281724000000,Contradicted,contradicted,0.05,not_credible,True,,"claim states 716,924,000,000 for FY 2025; filings report 281,724,000,000",MICROSOFT CORPORATION reported annual revenue of 716924000000 for the fiscal year ending 2025-06-30.
